,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Activity_SMS Sent,Last Notable Activity_SMS Sent,Lead Origin_Lead Add Form,What is your current occupation_Working Professional,Lead Source_Reference,Tags_Ringing,Tags_Interested in other courses,What is your current occupation_Unemployed,Lead Profile_Unspecified,Tags_Closed by Horizzon,Last Activity_Olark Chat Conversation,Last Notable Activity_Modified,Lead Source_Welingak Website,Lead Profile_Student of SomeSchool,Tags_switched off,Lead Source_Olark Chat,Tags_Not doing further education,Lead Origin_Landing Page Submission,Lead Source_Others,Tags_Lost to EINS,Last Activity_Unreachable,Specialization_Unspecified,Last Activity_Email Bounced,Last Notable Activity_Unreachable,Lead Profile_Lateral Student,Tags_Interested  in full time MBA,TotalVisits,Specialization_Marketing Management,Specialization_Operations Management,Lead Source_Facebook,Specialization_Travel and Tourism,Tags_University not recognized,Last Activity_Form Submitted on Website,Specialization_Business Administration,Tags_In confusion whether part time or DLP,How did you hear about X Education_Student of SomeSchool,Tags_Lateral student,Lead Source_Social Media,Tags_invalid number,Tags_Interested in Next batch,Last Activity_Had a Phone Conversation,Lead Source_WeLearn,Last Activity_Email Link Clicked,Tags_Busy,Last Notable Activity_Email Marked Spam,Do Not Email_Yes,Last Activity_Converted to Lead,Lead Source_Referral Sites,What is your current occupation_Other,Specialization_Retail Management,Last Notable Activity_Page Visited on Website,Specialization_Healthcare Management,Last Notable Activity_Email Link Clicked,Specialization_Human Resource Management,Tags_Recognition issue (DEC approval),Last Notable Activity_Unsubscribed,Tags_Still Thinking,Tags_Lost to Others,What matters most to you in choosing a course_Flexibility & Convenience,Lead Source_bing,City_Tier II Cities,How did you hear about X Education_Unspecified,How did you hear about X Education_Word Of Mouth,Specialization_International Business,How did you hear about X Education_SMS,Lead Origin_Lead Import,Last Notable Activity_Olark Chat Conversation,City_Other Cities of Maharashtra,Specialization_Rural and Agribusiness,A free copy of Mastering The Interview_Yes,Lead Source_Direct Traffic,Specialization_E-Business,Last Activity_Email Marked Spam,Last Activity_Page Visited on Website,Lead Source_Pay per Click Ads,Lead Source_welearnblog_Home,Last Activity_Resubscribed to emails,Lead Source_NC_EDM,How did you hear about X Education_Other,Converted
1423,False,0.08197168841870947,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
1607,False,-0.34311450047568026,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,1
1133,False,-0.34311450047568026,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.1056048342174981,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1984,False,1.4849385521946137,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5961,True,-0.8904357737302593,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2203,True,-0.8904357737302593,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
311,False,-0.76820068937007,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
4102,False,-0.6094775201262421,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7825,False,1.4156111909157003,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1726516944229551,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
5741,False,0.6894983017312922,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0
6307,False,-0.8904357737302593,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7019,False,-0.8466500718698929,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
8278,False,-0.23912345855731024,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
2453,False,-0.3266948622780429,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0
6663,False,-0.8265816251838918,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6532,False,-0.5985310946611505,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
2920,False,-0.8904357737302593,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
